prefix,lat,lon,name,category
mub,29.648244,-82.342908,Music Building,academic
mus,29.644484,-82.344100,Dickinson Hall,academic
nano,29.642764,-82.346123,Nanoscale Research,academic
neb,29.642287,-82.347076,New Engineering Building,unknown
npb,29.643913,-82.349779,Physics,academic
npbB,29.643913,-82.349779,Physics,academic
nrg,29.646251,-82.337966,Norman Gym,sports
nrn,29.646947,-82.338164,Norman Hall,academic
nrna,29.646645,-82.337581,Norman Hall Addition,academic
nrnag,29.646645,-82.337581,Norman Hall Addition,academic
nsc,29.647381,-82.347996,Nuclear Sciences,academic
nzh,29.645392,-82.345778,Newins-Ziegler Hall,academic
nzhB,29.645392,-82.345778,Newins-Ziegler Hall,academic
ohl1,29.639754,-82.358956,Ornamental Hort Laboratory 1,academic
ohl2,29.639824,-82.358554,Ornamental Hort Laboratory 2,academic
osbs,29.672632,-82.032595,Ordway-Swisher Biological Station,academic
osbstr,29.672632,-82.032595,Ordway-Swisher Biological Station,academic
pcpa,29.635312,-82.369309,Phillips Center,social
pdc,29.642948,-82.369274,Physical Plant Central Stores,academic
phl,29.644585,-82.348780,Phelps Lab,academic
plsl,29.639079,-82.358344,Agronomy Plant Science Lab,academic
pow,29.635726,-82.370236,Powell Hall,museum
pres,29.648184,-82.360850,Presidents Residence,housing
psf,29.639481,-82.359603,Plant Science Facility,academic
pst,29.641504,-82.347885,Particle Science & Technology,academic
psy,29.643418,-82.346266,Psychology,academic
pugh,29.649468,-82.345665,Pugh Hall,academic
rcd,29.650076,-82.346340,Racquet Club Dining Center,social
rei,29.646386,-82.347790,Reitz Student Union,social
reiB,29.646386,-82.347790,Reitz Student Union,social
reiG,29.646386,-82.347790,Reitz Student Union,social
reiOrangeBrew,29.646386,-82.347790,Reitz Student Union,social
reiR,29.646386,-82.347790,Reitz Student Union,social
rfc,29.650148,-82.346799,Student Recreation and Fit. Center,sports
rhn,29.647253,-82.348948,Rhines Hall,academic
rhnb,29.647253,-82.348948,Rhines Hall,academic
rl1,29.633165,-82.361168,Research Laboratory 1,academic
rl2,29.633176,-82.360914,Research Laboratory 2,academic
rla,29.647983,-82.348110,Reed Lab,academic
rlab,29.647983,-82.348110,Reed Lab,academic
rnk,29.646965,-82.343196,Rinker Hall,academic
rnktr,29.646965,-82.343196,Rinker Hall,academic
rog,29.644495,-82.345433,Rogers Frazier Hall,academic
rol,29.649259,-82.344494,Rolfs Hall,academic
sbh,29.647647,-82.342621,Steinbrenner,social
sbhG,29.647647,-82.342621,Steinbrenner,social
sis,29.650019,-82.344212,Sisler Hall Chemistry Research Bldg,academic
sma,29.650878,-82.341791,Smathers Library,library
soc,29.649461,-82.351125,OConnell Center,unknown
socgate,29.649461,-82.351125,OConnell Center,unknown
sta,29.649961,-82.349511,Ben Hill Griffin Stadium,sports
stz,29.650832,-82.341177,Stuzin Hall,academic
stzWlkwy,29.650976,-82.340971,# Stuzin Hall Walk Way,unknown
swc,29.638378,-82.368414,SW Recreation Center,sports
tge,29.639601,-82.360412,Turfgrass Envirotron,academic
tig,29.649397,-82.339815,Tigert Hall,admin
treeo,29.619974,-82.414165,Treeo Center,academic
tur,29.649333,-82.343903,Turlington Hall,academic
turl,29.649333,-82.343903,Turlington Hall,academic
urbe,29.633778,-82.366198,Urban Entomology,academic
ust,29.650447,-82.346867,Ustler Hall,academic
van,29.648549,-82.351042,Van Fleet Hall,admin
wal,29.649455,-82.341582,Walker Hall,academic
wei,29.648418,-82.348606,Weil Hall,academic
weiclocktower,29.648399,-82.349265,Clock Tower,social
weim,29.647761,-82.347342,Wiemer Hall,academic
weimG,29.647761,-82.347342,Wiemer Hall,academic
weimg,29.647761,-82.347342,Wiemer Hall,academic
wm,29.648052,-82.346709,Williamson Hall,academic
yon,29.649968,-82.347888,Yon Hall,academic
